FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23a4,01-03-2018 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,2,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23a3,01-03-2019 00:00:00,7,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,7,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23a2,01-03-2019 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,5,0,5,6,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23a1,01-03-2019 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-23a0,01-03-2019 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-239f,01-03-2019 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-239e,01-03-2019 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-239d,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,4,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-239c,01-04-2018 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,6,0,4,2,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-239b,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-239a,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,3,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2399,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2398,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2397,01-04-2019 00:00:00,6,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,4,0,6,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2396,01-04-2019 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,5,0,6,6,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2395,01-04-2019 00:00:00,5,Moyen,AtmoSud,commune,13001,Aix-en-Provence,3,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2394,01-04-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,3,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2393,01-04-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,3,0,5,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2392,01-04-2019 00:00:00,5,Moyen,AtmoSud,commune,84007,Avignon,2,0,5,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2391,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2390,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-238f,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-238e,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,3,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-238d,01-05-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-238c,01-05-2018 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,1,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-238b,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-238a,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,06088,Nice,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2389,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,13001,Aix-en-Provence,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2388,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2387,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,3,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2386,01-05-2019 00:00:00,5,Moyen,AtmoSud,commune,84007,Avignon,1,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2385,01-06-2018 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2384,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,2,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2383,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2382,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,2,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2381,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,1,0,4,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2380,01-06-2018 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-237f,01-06-2019 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-237e,01-06-2019 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,4,0,6,2,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-237d,01-06-2019 00:00:00,5,Moyen,AtmoSud,commune,13001,Aix-en-Provence,2,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-237c,01-06-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,2,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-237b,01-06-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,2,0,5,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-237a,01-06-2019 00:00:00,6,Médiocre,AtmoSud,commune,84007,Avignon,2,0,6,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2379,01-07-2018 00:00:00,5,Moyen,AtmoSud,commune,06029,Cannes-Grasse-Antibes,2,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2378,01-07-2018 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,3,0,6,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2377,01-07-2018 00:00:00,7,Médiocre,AtmoSud,commune,13001,Aix-en-Provence,2,0,7,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2376,01-07-2018 00:00:00,6,Médiocre,AtmoSud,commune,13055,Marseille,3,0,6,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2375,01-07-2018 00:00:00,6,Médiocre,AtmoSud,commune,83137,Toulon,3,0,6,3,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2374,01-07-2018 00:00:00,8,Mauvais,AtmoSud,commune,84007,Avignon,3,0,8,3,0,#E31E25
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2373,01-07-2019 00:00:00,7,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,7,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2372,01-07-2019 00:00:00,7,Médiocre,AtmoSud,commune,06088,Nice,4,0,7,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2371,01-07-2019 00:00:00,6,Médiocre,AtmoSud,commune,13001,Aix-en-Provence,3,0,6,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-2370,01-07-2019 00:00:00,5,Moyen,AtmoSud,commune,13055,Marseille,2,0,5,4,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-236f,01-07-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,2,0,5,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-236e,01-07-2019 00:00:00,7,Médiocre,AtmoSud,commune,84007,Avignon,3,0,7,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-236d,01-08-2018 00:00:00,6,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,4,0,6,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e677a716d_-236c,01-08-2018 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,5,0,6,5,0,#F4B638
